symbol,market,type,currency,name_en,name_cn,aliases
MGLOBAL-USD,crypto,crypto,USD,Midas Fasanara Global,,midas-fasanara-global
MHORSE-USD,crypto,crypto,USD,MEME HORSE,,meme-horse
GAS-USD,crypto,crypto,USD,Gas,,gas
QFI-USD,crypto,crypto,USD,Quantix Finance,,quantixai
ALLO-USD,crypto,crypto,USD,Allora,,allora
SN4-USD,crypto,crypto,USD,Targon,,targon
HOT-USD,crypto,crypto,USD,Holo,,holotoken
KTA-USD,crypto,crypto,USD,Keeta,,keeta
PROS-USD,crypto,crypto,USD,Pharos,,pharos-network
RVN-USD,crypto,crypto,USD,Ravencoin,,ravencoin
XDAI-USD,crypto,crypto,USD,XDAI,,xdai
FXSAVE-USD,crypto,crypto,USD,f(x) USD Saving,,fx-usd-saving
NUSD-USD,crypto,crypto,USD,Neutrl USD,,nusd-2
BILL-USD,crypto,crypto,USD,Billions Network,,billions-network
SNDKB-USD,crypto,crypto,USD,SanDisk (bStocks Tokenized Stock),,sandisk-bstocks-tokenized-stock
BABYDOGE-USD,crypto,crypto,USD,Baby Doge Coin,,baby-doge-coin
ZIG-USD,crypto,crypto,USD,ZIGChain,,zignaly
SN51-USD,crypto,crypto,USD,lium,,celium
KSM-USD,crypto,crypto,USD,Kusama,,kusama
TORN-USD,crypto,crypto,USD,Tornado Cash,,tornado-cash
JELLYJELLY-USD,crypto,crypto,USD,Jelly-My-Jelly,,jelly-my-jelly
JPYC-USD,crypto,crypto,USD,JPY Coin,,jpycoin
TURBO-USD,crypto,crypto,USD,Turbo,,turbo
TRUSD-USD,crypto,crypto,USD,Tori trUSD,,tori-trusd
FUN-USD,crypto,crypto,USD,FUNToken,,funfair
MTBILL-USD,crypto,crypto,USD,Midas mTBILL,,midas-mtbill
TFUEL-USD,crypto,crypto,USD,Theta Fuel,,theta-fuel
ARX-USD,crypto,crypto,USD,ARCS,,arcs
FT-USD,crypto,crypto,USD,Flying Tulip,,flying-tulip
APES-USD,crypto,crypto,USD,APES,,apes-2-2
LINEA-USD,crypto,crypto,USD,Linea,,linea
SCOR-USD,crypto,crypto,USD,Scor,,scor
NOPAL-USD,crypto,crypto,USD,Nest BlackOpal LiquidStone II Vault,,nest-blackopal-liquidstone-ii-vault
PC0000081-USD,crypto,crypto,USD,Tradable NA Legal Receivables SSL,,tradable-na-legal-receivables-ssl
MINA-USD,crypto,crypto,USD,Mina Protocol,,mina-protocol
USDU-USD,crypto,crypto,USD,USDu,,usdu
ARC-USD,crypto,crypto,USD,AI Rig Complex,,ai-rig-complex
JUPUSD-USD,crypto,crypto,USD,JupUSD,,jupusd
XNO-USD,crypto,crypto,USD,Nano,,nano
SUPER-USD,crypto,crypto,USD,SuperVerse,,superfarm
BRZ-USD,crypto,crypto,USD,Brazilian Digital,,brz
IUSD-USD,crypto,crypto,USD,InfiniFi USD,,infinifi-usd
EXOD-USD,crypto,crypto,USD,EXOD,,exod
W-USD,crypto,crypto,USD,Wormhole,,wormhole
ACRDX-USD,crypto,crypto,USD,Anemoy Tokenized Apollo Diversified Credit Fund,,anemoy-tokenized-apollo-diversified-credit-fund
USELESS-USD,crypto,crypto,USD,Useless Coin,,useless-3
REQ-USD,crypto,crypto,USD,Request,,request-network
ANVL-USD,crypto,crypto,USD,Anvil,,anvil
MEME-USD,crypto,crypto,USD,MEMETOON,,memetoon
METAL-USD,crypto,crypto,USD,Metal Blockchain,,metal-blockchain
IO-USD,crypto,crypto,USD,io.net,,io
MAGMA-USD,crypto,crypto,USD,Magma Finance,,magma-finance
CHIP-USD,crypto,crypto,USD,USD.AI,,chip-2
AUSDT-USD,crypto,crypto,USD,Alloy Tether,,alloy-tether
USDKG-USD,crypto,crypto,USD,USDKG,,usdkg
DIEM-USD,crypto,crypto,USD,Diem,,diem
BGBTC-USD,crypto,crypto,USD,Bitget Wrapped BTC,,bitget-wrapped-btc
ZIL-USD,crypto,crypto,USD,Zilliqa,,zilliqa
ENJ-USD,crypto,crypto,USD,Enjin Coin,,enjincoin
PC0000049-USD,crypto,crypto,USD,Tradable Eu/LatAm PoS Financing SSTL,,tradable-eu-latam-pos-financing-sstl
ELF-USD,crypto,crypto,USD,aelf,,aelf
BABY-USD,crypto,crypto,USD,Babylon,,babylon
REKT-USD,crypto,crypto,USD,Rekt,,rekt-4
FIDD-USD,crypto,crypto,USD,Fidelity Digital Dollar,,fidelity-digital-dollar
BCE-USD,crypto,crypto,USD,bitcastle Token,,bitcastle-token
BIO-USD,crypto,crypto,USD,Bio Protocol,,bio-protocol
RIVER-USD,crypto,crypto,USD,River,,river
CRCLX-USD,crypto,crypto,USD,Circle xStock,,circle-xstock
FIUSD-USD,crypto,crypto,USD,Sygnum FIUSD Liquidity Fund,,sygnum-fiusd-liquidity-fund
SPK-USD,crypto,crypto,USD,Spark,,spark-2
HDX-USD,crypto,crypto,USD,Hydration,,hydradx
SPYX-USD,crypto,crypto,USD,SP500 xStock,,sp500-xstock
AIOT-USD,crypto,crypto,USD,OKZOO,,okzoo
FLOW-USD,crypto,crypto,USD,Flow,,flow
CAP-USD,crypto,crypto,USD,Cap,,cap-4
BERA-USD,crypto,crypto,USD,Berachain,,berachain-bera
CYS-USD,crypto,crypto,USD,Cysic,,cysic
DOLA-USD,crypto,crypto,USD,DOLA,,dola-usd
STON-USD,crypto,crypto,USD,STON,,ston-2
XP-USD,crypto,crypto,USD,Xphere,,xphere
XVS-USD,crypto,crypto,USD,Venus,,venus
LAB-USD,crypto,crypto,USD,LAB,,lab
SUSHI-USD,crypto,crypto,USD,Sushi,,sushi
FILQ-A-USD,crypto,crypto,USD,Fidelity USD Digital Liquidity Fund-Acc,,fidelity-usd-digital-liquidity-fund-acc
XUSD-USD,crypto,crypto,USD,StraitsX XUSD,,straitsx-xusd
SKR-USD,crypto,crypto,USD,Seeker,,seeker
DEGEN-USD,crypto,crypto,USD,Degen,,degen-base
OMI-USD,crypto,crypto,USD,ECOMI,,ecomi
CROSS-USD,crypto,crypto,USD,CROSS,,cross-2
ZETA-USD,crypto,crypto,USD,ZetaChain,,zetachain
BASEDHYPE-USD,crypto,crypto,USD,BasedHype,,basedhype
KAVA-USD,crypto,crypto,USD,Kava,,kava
IDOL-USD,crypto,crypto,USD,MEET48,,meet48
AXL-USD,crypto,crypto,USD,Axelar,,axelar
PMUSD-USD,crypto,crypto,USD,Precious Metals USD,,precious-metals-usd
ROSE-USD,crypto,crypto,USD,Oasis,,oasis-network
TOSHI-USD,crypto,crypto,USD,Toshi,,toshi
MUON-USD,crypto,crypto,USD,Micron Technology (Ondo Tokenized Stock),,micron-technology-ondo-tokenized-stock
CCD-USD,crypto,crypto,USD,Concordium,,concordium
POPCAT-USD,crypto,crypto,USD,Popcat,,popcat
SPYON-USD,crypto,crypto,USD,SPDR S&P 500 ETF (Ondo Tokenized ETF),,spdr-s-p-500-etf-ondo-tokenized-etf
KUB-USD,crypto,crypto,USD,KUB Coin,,bitkub-coin
BR-USD,crypto,crypto,USD,Bedrock,,bedrock-token
BOME-USD,crypto,crypto,USD,BOOK OF MEME,,book-of-meme
JCT-USD,crypto,crypto,USD,Janction,,janction
CASHCAT-USD,crypto,crypto,USD,Cash Cat,,cash-cat
PRIZE-USD,crypto,crypto,USD,Prize Protocol,,prize-protocol
ESP-USD,crypto,crypto,USD,Espresso,,espresso
ZCHF-USD,crypto,crypto,USD,Frankencoin,,frankencoin
ASTR-USD,crypto,crypto,USD,Astar,,astar
RECALL-USD,crypto,crypto,USD,Recall,,recall
POLYX-USD,crypto,crypto,USD,Polymesh,,polymesh
